Date,Open,High,Low,Close,Adj Close,Volume
2012-01-30,2.91,2.92,2.91,2.91,2.91,26904
2012-01-31,2.91,2.94,2.9,2.94,2.94,23821
2012-02-01,2.94,3.05,2.91,3.02,3.02,166409
2012-02-02,3,3.05,3,3.03,3.03,99354
2012-02-06,3.03,3.04,3,3.03,3.03,116727
2012-02-07,3.03,3.05,3.01,3.01,3.01,58060
2012-02-08,3,3.03,3,3.03,3.03,599905
2012-02-09,3.02,3.03,3,3.03,3.03,32325
2012-02-12,3.03,3.03,3,3.02,3.02,73996
2012-02-13,3,3.05,2.99,3.02,3.02,87235
2012-02-14,3.02,3.05,3.02,3.03,3.03,73612
2012-02-15,3.03,3.05,3.03,3.05,3.05,66675
2012-02-16,3.05,3.11,3.03,3.1,3.1,66000
2012-02-19,3.08,3.09,3.03,3.08,3.08,63556
2012-02-20,3.08,3.08,3.05,3.06,3.06,75500
2012-02-21,3.03,3.11,3.03,3.11,3.11,90209
2012-02-22,3.11,3.12,3.1,3.12,3.12,94883
2012-02-23,3.12,3.15,3.1,3.15,3.15,50412
2012-02-26,3.12,3.12,3.1,3.1,3.1,27700
2012-02-27,3.05,3.12,3.05,3.1,3.1,81370
2012-02-28,3.1,3.12,3.1,3.11,3.11,102045
2012-02-29,3.12,3.12,3.05,3.05,3.05,24566
2012-03-01,3.06,3.08,3.05,3.05,3.05,23580
2012-03-04,3.06,3.14,3.06,3.14,3.14,47663
2012-03-05,3.1,3.1,3.07,3.1,3.1,19350
2012-03-06,3.05,3.05,3.05,3.05,3.05,0
2012-03-07,3.13,3.14,3.1,3.12,3.12,10471
2012-03-08,3.15,3.15,3.1,3.11,3.11,13354
2012-03-11,3.12,3.15,3.12,3.12,3.12,24552
2012-03-12,3.14,3.15,3.12,3.12,3.12,30310
2012-03-13,3.07,3.15,3.07,3.15,3.15,192308
2012-03-14,3.11,3.2,3.11,3.2,3.2,80595
2012-03-15,3.2,3.4,3.2,3.31,3.31,83734
2012-03-18,3.27,3.31,3.21,3.31,3.31,62253
2012-03-19,3.22,3.34,3.22,3.3,3.3,27003
2012-03-20,3.3,3.35,3.3,3.35,3.35,20455
2012-03-21,3.37,3.5,3.37,3.48,3.48,65027
2012-03-22,3.5,3.66,3.5,3.63,3.63,111642
2012-03-25,3.61,3.63,3.55,3.58,3.58,35119
2012-03-26,3.59,3.78,3.58,3.75,3.75,206378
2012-03-27,3.75,3.99,3.75,3.9,3.9,166463
2012-03-28,3.88,3.95,3.85,3.95,3.95,65293
2012-03-29,3.96,4.05,3.96,4.02,4.02,142089
2012-04-01,4,4,3.75,3.84,3.84,97015
2012-04-02,3.92,4.04,3.92,4,4,98285
2012-04-03,4,4,3.93,3.94,3.94,121290
2012-04-04,3.963,3.94,3.7,3.8,3.8,261860
2012-04-09,3.94,3.94,3.75,3.9,3.9,27295
2012-04-10,3.8,3.9,3.8,3.9,3.9,111570
2012-04-11,3.89,3.9,3.87,3.88,3.88,7649
2012-04-12,3.87,3.89,3.85,3.89,3.89,20340
2012-04-15,3.88,3.88,3.8,3.8,3.8,23175
2012-04-16,3.8,3.8,3.75,3.75,3.75,43772
2012-04-17,3.75,3.8,3.75,3.78,3.78,91370
2012-04-18,3.8,3.85,3.79,3.85,3.85,109622
2012-04-19,3.89,3.9,3.89,3.9,3.9,22504
2012-04-22,3.92,3.92,3.9,3.9,3.9,12295
2012-04-23,3.9,3.9,3.9,3.9,3.9,13250
2012-04-25,3.9,4.04,3.9,4.03,4.03,95803
2012-04-26,4.03,4.04,4,4,4,15538
2012-04-29,3.95,4.04,3.95,4.04,4.04,20744
2012-04-30,4.05,4.3,4.05,4.18,4.18,16552
2012-05-01,4.3,4.5,4.3,4.35,4.35,28834
2012-05-02,4.4,4.4,4.35,4.37,4.37,15505
2012-05-03,4.37,4.44,4.36,4.42,4.42,27868
2012-05-06,4.42,4.42,4.25,4.25,4.25,60642
2012-05-07,4.18,4.19,4.07,4.1,4.1,58636
2012-05-08,4.09,4.1,4.05,4.07,4.07,36418
2012-05-09,4.07,4.2,4.05,4.1,4.1,9598
2012-05-10,4.15,4.15,4.08,4.12,4.12,22305
2012-05-13,4.19,4.37,4.18,4.34,4.34,27680
2012-05-14,4.34,4.4,4.34,4.35,4.35,17885
2012-05-15,4.35,4.35,4.25,4.3,4.3,17840
2012-05-16,4.25,4.3,4.25,4.29,4.29,7852
2012-05-17,4.25,4.3,4.25,4.3,4.3,21550
2012-05-20,4.28,4.4,4.28,4.3,4.3,28120
2012-05-21,4.31,4.31,4.2,4.25,4.25,56169
2012-05-22,4.27,4.27,4.25,4.25,4.25,13402
2012-05-23,4.25,4.25,4.2,4.2,4.2,29869
2012-05-24,4.2,4.2,4,4,4,21351
2012-05-27,4,4.15,3.9,4.15,4.15,42158
2012-05-28,4.15,4.19,4.15,4.19,4.19,18727
2012-05-29,4.19,4.19,4.12,4.19,4.19,11110
2012-05-30,4.1,4.1,4.1,4.1,4.1,11455
2012-05-31,4.1,4.15,4.1,4.1,4.1,30664
2012-06-04,4.1,4.1,4,4.08,4.08,52537
2012-06-05,4.07,4.1,4.07,4.1,4.1,24966
